Recipe,Ingredients,Procedure
Grilled Leek And Sweet Pepper,"2 medium leeks, green tops trimmed, split up to the root ends, cleaned 1 Tablespoon olive oil 1 large red bell pepper 1 large yellow bell pepper 4 Tablespoon unsalted butter 1 large clove, garlic, minced fine 1/3 cup dry vermouth 1 Tablespoon fresh thyme leaves 1 cup Apple Wood chips Grill, turning as needed, until leeks are tender and golden brown, about 10-12 minutes, and skin of peppers is charred, about 15 minutes. Remove the leeks from grill and let cool. Remove the peppers from the grill and place Grilled Leek And Sweet Pepper 20 ","salt and freshly ground pepper to taste 12 oz. fresh fettuccine Prepare a medium-hot fire in the grill. Coat the leeks with olive oil. When the coals are covered in gray ash add the presoaked chips to the fire. When the chips start to smoke place the leeks and peppers on the cooking grid directly over the fire. in a paper or plastic bag and seal; set aside and allow to steam. When cool, trim root ends from leeks, then cut into thin strips. Peel and seed bell peppers and cut into thin strips. Meanwhile, heat a large pot of water to boiling. Heat butter in a large skillet over medium heat. Add garlic and cook, stirring frequently, until pale golden. Add vermouth, and reduce to syrupy consistency. Stir in leeks and peppers and season with salt and pepper. Salt boiling water, add pasta, and cook until tender but still firm to the bite. Drain thoroughly, add to skillet and toss well. Sprinkle with thyme and serve hot. "
Carbonara Sauce,"4 Tablespoon Butter 8 Slice Bacon; cut in 1/4"" strips 2 Eggs 2 Egg yolks 1 Teaspoon Red pepper flakes 1 Cup Parmesan cheese 1/2 Cup Heavy cream 1 Teaspoon Salt Black pepper 1 Pound Spaghetti 8 Quarts water ","Cream soft butter. In another bowl, beat eggs & yolks and whisk until blended, add 1/2 cup cheese. Heat large casserole dish in 200F oven. Bring water & salt to boil in large pot. Meanwhile, fry bacon in skillet over med heat until crisp. Pour off half of fat and stir in red pepper flakes and cream. Bring cream mixture to simmer and keep warm until spaghetti is done. Transfer cooked spaghetti to heated serving bowl and stir in creamed butter. Coat well. Stir in hot bacon & cream mixture and finally the beaten eggs and cheese. The heat of the pasta will cook the raw eggs. Taste and season with salt and pepper. Serve with remaining grated cheese. "
Tomato Bruschetta,"1 Loaf Italian bread, halved lengthwise then cut crosswise diagonally, into 1—in slices 1 Garlic clove; minced 2 Tablespoon Olive oil 2 Large Tomatoes; peeled, seeded, and chopped 1/4 Teaspoon Salt 1/4 Teaspoon Pepper 1/2 Cup Chopped fresh basil Tomato Bruschetta ",Toast the bread under the broiler until lightly browned. Combine the garlic and olive oil and brush over one side of the bread. Spread the tomatoes over the bread. Sprinkle with salt and pepper. Broil for about 30 seconds to heat the tomatoes. Sprinkle with basil and serve. 
French Onion Beef,"1 1/4 pounds Boneless beef round steak 1 package (8 oz) fresh sliced mushrooms 1 large Onion sliced into rings 1 can French onion soup condensed 1 package 15 minute herb stuffing mix 1/4 cup Margarine or butter, melted 4 ounces Shredded mozzarella cheese French Onion Beef ","Cut beef into 6 serving—size pieces. Layer half of the beef, mushrooms and onion in 3 1/2 to 4—quart slow cooker; repeat layers. Pour soup over ingredients in slow cooker. Cover; cook on low setting for 8 to 10 hours or until beef is tender and no longer pink. Before serving, toss stuffing mix and contents of seasoning packet with melted margarine and 1/2 cup liquid from pot. Place stuffing on top of contents in slow cooker; cover. Increase heat to high setting. Cook 10 minutes or until stuffing is fluffy. Sprinkle with cheese; cover. Cook until cheese is melted. "
Manicotti,"1 lb. ricotta cheese 1 1/2 lbs. mozzarella cheese (grated), divided 1/4 cup romano cheese (grated) Salt and pepper 1/4 cup provolone cheese (grated) Parsley (chopped) 3 eggs 2-3 cups tomato sauce Manicotti ","Combine all ingredients together, except tomato sauce. Mix well. (Use 1 lb. mozzarella cheese) Spread some tomato sauce on the bottom of a baking pan. Stuff manicotti shells and place in pan. Spread more tomato sauce in between each layer and on the top, followed by 1/2 lb. of just mozzarella cheese. Bake at 350 degrees F for 3/4 hour. Then, broil for 2-3 minutes to brown top. "
Beef Bourguinon,"4 pounds lean beef, cubed 1 cup red wine 1/3 cup oil 1 teaspoon thyme 1 teaspoon black pepper 8 slices bacon, diced 2 cloves garlic, crushed 1 onion, diced 1 pound mushrooms, sliced 1/3 cup flour Beef Bourguinon ","Marinate beef in wine,oil,thyme and pepper 4 hrs at room temp. or overnight in the fridge. In large pan, cook bacon until soft. Add garlic and onion sauteeing until soft. Add mushrooms and cook until slightly wilted. Drain beef reserving liquid. Place beef in slow cooker. Sprinkle flour over the beef stirring until well coated. Add mushroom mixture on top. Pour reserved marinade over all. Cook on LOW 8-9 hrs. "
Slow Cook Jambalaya,"1 Bell pepper, chopped 1 Onion, chopped 2 Medium tomatoes, chopped 1 cup Chopped celery 1 Clove garlic, crushed 2 tablespoons Minced parsley 2 teaspoons Chopped thyme leaves 2 teaspoons Oregano leaves, chopped 1/8 teaspoon Cayenne 1/2 teaspoon Salt 4 ounces Smoked sausage, chopped 8 ounces Chicken breast, chopped 2 cups Beef broth or bouillon 1/2 pound Cooked shelled shrimp 1 cup Cooked rice ","Shell shrimp, halve lengthwise. In slow cooker,combine all ingred. except shrimp & rice. Cover & cook on low 9-10 hours. Turn slow cooker on high, add cooked shrimp & cooked rice. Cover; cook on high 20-30 minutes. "
Bourbon Steak,"1-1/2 pounds steak 1 teaspoon. sugar 1/4 cup bourbon 2 tablespoons soy sauce 2 tablespoons water 1 garlic clove, crushed 1 cup Apple Wood Chips ","Mix all ingredients (except chips) together, place in ziplock bag and marinate steak 4 hours or over night. Soak wood chips in water for 30 minutes, and add to hot coals just before commencing to grill. Grill steak to desired doneness. This recipe is good with any cut of steak you like. "
Fresh Artichokes,"2 large Fresh artichokes 6 cups —Water, hot 4 slices Lemon, thin slices 1/3 cup Butter; or margarine, melted 3 tablespoons Lemon juice 1/4 teaspoon Seasoned salt Fresh Artichokes ","With sharp knife, slice about 1"" off top of each artichoke; cut off stem near base. With scissors, trim about 1/2"" off top of each leaf. With sharp knife, halve each artichoke vertically; then scoop out and discard the fuzzy center or choke. Place artichoke halves in slowcooker; add hot water and lemon slices. Cover and cook on HIGH 4 to 5 hrs. or until done. Drain; serve with sauce. Lemon butter sauce — combine all ingredients. "
Watermelon Barbecue Sauce,1 — 6 Pound Seedless Watermelon chunk 8 Ounces Tomato Paste 1 Tablespoon Onion Powder 1 Tablespoon Garlic Powder 2 Cups Firmly packed brown sugar 1/2 Cup Sherry 2 Teaspoons Lemon juice 1 Teaspoon Liquid smoke Watermelon Barbecue Sauce ,Cut the melon into pieces and place in a saucepan. Cook it uncovered over medium heat until the melon is the consistency of applesauce (approximately 2-3 hours). Stir it occasionally. Add remaining ingredients. Simmer uncovered over low heat for 2 hours. Allow to cool to room temperature before using. 
Hungarian Goulash,"2 Pounds Round steaks, cut in 1/2"" — cubes 1 Cup Chopped onion 1 Clove garlic, minced 2 Tablespoon Flour 1 Teaspoon Salt 1/2 Teaspoon Pepper 1-1/2 Teaspoon Paprika 1/4 Teaspoon Dried thyme, crushed 1 (14 1/2 oz) can tomatoes 1 Cup Sour cream Noodles Hungarian Goulash ","Put steak cubes, onion, garlic in crockpot. Stir in flour and mix to coat steak cubes. Add all remaining ingredients except sour cream. Stir well. Cover and cook on Low 8-10 hours Add sour cream 30 minutes before serving, and stir in thoroughly. (High: 4-5 hours, stirring occasionally.) Serve over hot buttered noodles. "
Honey Spiced BBQ Sauce,"1 1/4 Cup Catchup 2/3 Cup Salad oil 3/4 Cup Vinegar 5 Tablespoons Worcestershire sauce 1 Cup Honey 2 Tablespoon Dry mustard 3 Teaspoon Ginger, fresh grated 1 Lemon, sliced thinly 3 Tablespoons Butter Honey Spiced BBQ Sauce ",Combine all ingredients in a saucepan and heat to blend together. Remove lemon peel before basting. 
Basic Polenta,"9 Cups Water 1 Teaspoon Salt 3 Cups Cornmeal; coarse-grain 1 inch wide and 6 inches long. Place slices in individual dishes. Serve hot, covered with your favorite sauce. Makes 6 to 8 servings. Basic Polenta ","Bring water to a boil in a large heavy pot. Add salt and reduce heat until water is simmering. Take cornmeal by the handful and add to water very slowly, controlling the flow to a thin stream through your fingers. To avoid lumps, stir quickly with a long handled wooden spoon while adding cornmeal. If necessary, stop adding cornmeal from time to time and beat mixture vigorously. Cook, stirring constantly, 20 to 30 minutes. Polenta will become very thick while cooking. It is done when it comes away cleanly from the sides of the pot. Pour polenta into a large wooden board or a large platter. Wet your hands and smooth out polenta evenly, about 2 inches thick. Let cool 5 to 10 minutes or until polenta solidifies. Cut cooled polenta into slices Variation: Fried Polenta (Polenta Fritta): Prepare polenta and let cool completely. Cut cooled polenta into slices 2 inches wide and 6 inches long. Pour oil about 1 inch deep in a large skillet. Heat oil until a 1-inch cube of bread turns golden almost immediately. Fry polenta slices on both sides until light golden. Drain on paper towels. Serve hot. It is importent to insure the oil is hot enough, otherwise the polenta will absorb oil and your polenta will be greasy and unpalatable. "
Gnocchi Alla Giordano,"2 pounds Baking potatoes 1 cup All-purpose flour 1 Whole egg plus 1 Egg yolk, lightly beaten 2 tablespoons Unsalted butter, softened 1 teaspoon Salt Freshly grated Parmesan cheese Tomato sauce Gnocchi Alla Giordano ","Boil the potatoes in their jackets, drain, peel and put through a ricer or food mill. While the potatoes are still warm, blend in the flour, add the egg, egg yolk, butter and salt. Place the potato mixture on a floured board and knead lightly; the dough will be soft. Roll the dough in 1"" thick sticks about 10"" long. Cut each roll into 3/4"" pieces. Rub each pieces of dough lightly over the coarse side of a cheese grater. In a large pot of boiling salted water, cook the gnocchi until they rise to the top of the water. Using a slotted spoon, remove the gnocchi to a warm bowl. Sprinkle with Parmesan cheese, top with tomato sauce and serve at once. "
Cavatelli Sausage With Broccoli,"1/2 lb. or 2 cups dried Cavatelli or other small shell-shaped Italian pasta 1/2 lb. or 3 links sweet Italian Sausage 2 cloves garlic, minced 1 bunch broccoli 1 1/4 cup low-salt chicken broth 1/4 cup raisins 1 tbls. unsalted butter Parmesan cheese ","Squeeze sausage from casings and saute in a heavy skillet or cast iron frying pan. Stir until no longer pink and sausage has broken down into small chunks. Remove sausage with slotted spoon leaving juices in pan. Cut broccoli into 1 inch pieces and saute in juices or drippings from the sausage. Stir gently til it begins to brown. Add garlic and saute 1 minute more. Add broth and raisins and simmer until the broccoli is tender, about 3 minutes. Do not over cook. Finally, add butter and stir to melt. Add, with sausage, to cooked pasta and serve with parmesan cheese. "
Torta Di Spinaci,"10 oz. spinach, blanched 1 minute, drained, dried and chopped 2 cups all purpose flour, extra for kneading dough 1/2 cup unsalted butter(4 oz.) 1 egg yoke plus 3 whole eggs, beaten 3 tbs milk 1/4 cup golden raisins, soak 30 minutes in water, drain 3/4 cup heavy cream 1/2 cup grated Parmesan cheese salt and ground pepper 2 1/2 tbs (1 0z.) Pine nuts Torta Di Spinaci 15 ","To make dough by hand: Pour flour into a bowl, add salt and the butter. Using fingertips, work the butter into flour until a crumbly dough forms. Add the egg yoke and milk, incorporate, and knead dough into a ball. Wrap in plastic wrap and refrigerate for 1 hour. Food processor dough: Combine flour and salt in the work bowl and using metal blades process briefly to mix. Add butter and process until the ingredients resemble course meal. Next add egg yoke and milk and process until dough forms a ball around the blades. Remove dough, shape to ball, wrap in plastic wrap and refrigerate for 1 hour. Pre—heat oven to 350 degrees. Using 1 tbs. butter, grease a 9 inch tart pan with a removable bottom and then dust with flour. Using a lightly floured board, roll out the dough into a round shape, making it 1 inch larger than the diameter of the pan. Line the prepared pan with the pastry dough and trim. In a bowl, combine the blanched, chopped spinach, raisins, whole eggs, cream and Parmesan cheese. Mix well and season with salt and pepper to taste. Pour into the pastry-lined tart pan and top with the pine nuts. Bake in oven until it is golden, about 40 minutes. Remove, let cool slightly and then transfer to a serving dish. Serve Torta luke warm or cool. "
Chili Paste,"1 Lemon (and zest) 1 Lime (and zest) 1 orange (and zest) 1/2 green chili, or more to taste (chopped with or without seeds) 5 garlic cloves (finely crushed) 3 tablespoons mild chili powder 1 tablespoon olive oil 1 tablespoon paprika 1 teaspoon ground cumin 1 teaspoon salt 1/2 teaspoon dried oregano 1/4 teaspoon ground cinnamon Chili Paste ",Mix 1/2 teaspoon of each fruit zest and all the juices with other ingredients. Add more spices if desired. Let stand at least 30 minutes before using (should thicken). 
Tiramisu,"4 tablespoons espresso coffee 1 tablespoon Grappa 3 eggs, separated 1/2 cup sugar 8 ounces Marscapone cheese 24 Savoiardi biscuits 1 ounce sweet chocolate, grated ","In a small bowl, combine the coffee and grappa; set aside In a medium bowl, beat the egg whites until stiff; set aside. In a large bowl, beat the egg yolks together with the sugar until thick and lemon-colored. Add the marscapone and blend. Gently fold the egg whites into the cheese mixture. Place half of the biscuits in the bottom of a 10-inch square baking dish or larger serving plate. Sprinkle with half of the coffee mixture. Cover with half of the cheese mixture, and repeat process. Refrigerate tiramisu for 4 hours before serving with grated chocolate. "
Hawaiian Chicken Breasts,"4 Green onions 3 Tablespoons Butter 4 Chicken breast halves Flour seasoned with salt and pepper 1 Can sliced pineapple, (14 Ounces) 1 Avocado Rice; hot, buttered Hawaiian Chicken Breasts ","Chop onions using only 1"" of green tops. Saute in 1 T of butter until glazed. Transfer to crock pot. Coat chicken breasts in seasoned flour. Saute in butter until brown on both sides. Transfer to crock pot. Drain pineapple. Pour juice over chicken. Cover and cook on low 3-4 hours (high 1 1/2 — 2 hours) or until breasts are tender. Saute pineapple slices in butter until golden. Place on heated plater. Top each with a chicken breast. Slice avocado into 8 lengthwise strips. Place 2 strips on each chicken breast. Serve pan drippings over rice. "
Autumn Pork Chops,"6 Thick pork chops 2 Medium acorn squash 3/4 teaspoon Salt 2 tablespoons Margarine, melted 3/4 cup Brown sugar 3/4 teaspoon Kitchen Bouquet 1 tablespoon Orange juice 1/2 teaspoon Orange peel, grated Autumn Pork Chops ","Trim excess fat from pork chops. Cut each squash into 4 or 5 crossways slices; remove seeds. Arrange 3 chops on bottom of crockpot. Place all squash slices on top; then another layer of three remaining chops. Combine salt, butter, sugar, bouquet sauce, orange juice and orange peel. Spoon over chops. Cover and cook on low 6-8 hours or until done. Serve one or two slices of squash with each pork chop. "
Cashew Chicken,"3 Chicken breasts, boned and skinned 1/2 lb. Chinese pea pods 1/2 lb. Mushrooms 4 Green onions 2 cups Bamboo shoots, drained 1 cup Chicken broth 1/4 cup Soy sauce 2 tb Corn starch 1/2 ts Sugar 1/2 ts Salt 4 tb Salad oil 1 pack Cashew nuts (about 4—0z) Cashew Chicken ","Slice breasts horizontally into very thin slices and cut into inch squares. Place on tray. Prepare vegetables, removing ends and strings from pea pods, slicing mushrooms, green part of onions, and the bamboo shoots. Add to tray. Mix soy sauce, cornstarch, sugar, and salt. Heat 1 tbls of oil in skillet over moderate heat, add all the nuts, and cook 1 min shaking the pan, toasting the nuts lightly. Remove and reserve. Pour remaining oil in pan, fry chicken quickly, turning often until it looks opaque. Lower heat to low. Add pea pods, mushrooms, and broth. Cover and cook slowly for 2 mins. Remove cover, add soy sauce mixture, bamboo shoots, and cook until thickened, stirring constantly. Simmer uncovered a bit more and add green onions and nuts and serve immediately. "
Lemon Roast Chicken,Chicken whole 1 dash Salt 1 dash Pepper 1 teaspoon Oregano 2 Cloves minced garlic 2 tablespoons Butter 1/4 cup Water 3 tablespoons Lemon juice Lemon Roast Chicken ,"Wash chicken,pat dry, season with salt and pepper. Sprinkle 1/2 oregano and garlic inside cavity. Melt butter in large frying pan. Brown chicken on all sides. Transfer to crock pot. Sprinkle with oregano and garlic. Add water to fry pan, stir to loosen brown bits. Pour into crock pot. Cover. Cook on LOW 8 hours. Add lemon juice in the last hour of cooking. Transfer chicken to cutting board. Skim fat. Pour juice into sauce bowl. Carve bird. Serve with some juice spooned over chicken. "
Caponata,"2 LARGE EGGPLANTS 1 Teaspoon SALT 3/4 Cup OLIVE OIL 2 CLOVES GARLIC, CRUSHED 2 ONIONS, CHOPPED 1 Pound PLUM TOMATOES, Quartered 3 CELERY STALKS, DICED 1 Pound CAN PITTED BLACK OLIVES 12 Ounce JAR OLIVE SALAD 1/4 Cup CAPERS 1/2 Cup PINE NUTS 1/4 Cup RED WINE VINEGAR 2 Teaspoon SUGAR SALT AND PEPPER TO TASTE Caponata ","Wash and cube unpeeled eggplant. Salt and let stand 1 hour. Squeeze dry. Saute in oil until soft. Remove. Saute onions and garlic in same oil. Add tomatoes, olives, and celery. Cook until tender-—15 minutes. Add eggplant, capers, and pine nuts. In another pan heat vinegar and sugar. When dissolved, pour over eggplant. Season to taste and cook an additional 20 minutes. Serve hot or cold as relish with dinner or with french bread rounds as a buffet or cocktail dish. "
Fettucini Romano Ala Fratelli,"1 Tablespoon Olive oil 3 Cloves garlic, crushed 1/2 Cup White wine 3/4 Cup Half-and-half 1 Cup Romano cheese, grated 1 pound dry spinach fettucini, Cooked Chopped parsley for garnish Fettucini Romano Ala Fratelli ","Add the olive oil to a hot 10"" pan. Add the garlic, and saute over high heat for about 1 minute. Add the wine and simmer for about 2 minutes. Add the half-and-half, and allow the sauce to come back to the simmer. Add the Romano cheese, and stir until smooth, about 2 minutes. To serve: Add the pasta to the pan and toss until coated. Portion onto two plates, and garnish with some chopped parsley. "
Angel Hair With Balsamic Tomatoes,"1 teaspoon minced garlic 1 teaspoon olive oil 5 to 6 Roma tomatoes, chopped, (28—-ounce. can plum tomatoes) 3 tablespoons balsamic vinegar salt & pepper to taste 1/4 Cup chopped fresh basil 1/2 Pound angel hair pasta, (uncooked) Angel Hair With Balsamic Tomatoes 23 ","Saute the garlic in olive oil until lightly browned. Do this in a skillet large enough to hold the tomatoes later. Leave garlic in skillet. Place tomatoes, salt & pepper, basil and balsamic vinegar in a non-reactive bowl and set aside for 10 minutes, stirring occassionally. Boil water for pasta. Just before you put the pasta in the water, drain tomatoes and reserve the juice that runs off. (| usually set my colander on a dinner plate). Put the angel hair pasta in the water to cook for the recommended amount of time. Heat your garlic skillet and toss drained tomatoes briefly JUST to heat. They should retain their shape. The pasta should finish cooking (usually no more than 5 minutes for angel hair) at the same time the tomatoes are ready. Toss the pasta and tomato mixture together and serve with freshly grated parmesan cheese. "
Pasta Alla Caruso,"2 Tbs. Olive Oil 1 Cup Flour, seasoned with a pinch of salt & freshly ground black pepper 1 Lb. Chicken Livers, separated into individual lobes, all visible fat removed 2 Tbs. Unsalted Butter 1 Lb. assorted mushrooms, Shiitake (stems removed), Portobello, Crimini, White button, sliced thinly 1 Cup dry red wine 1 28 Oz. Can, peeled Tomatoes 2 Tbs. Flat-leafed Italian Parsley, finely chopped Salt & freshly ground black pepper 1 Lb. Spaghetti or Perciatelli Pasta Alla Caruso 18 ","Heat a saute pan over high heat, then add the olive oil. Flour the chicken livers, shaking off any excess and add to the pan. Saute until they are slightly browned and firm. Remove livers and set aside. Pour off the olive oil, then add the two tablespoons of butter. When the butter has foamed and the foam begins to subside, add the mushrooms, tossing to coat with the butter. Cook for four or five minutes, until the mushrooms begin to give off some of their juices. Add the wine all at once, scraping the bottom of the pan to loosen any caramelized bits of liver and mushroom from the bottom. Continue, cooking over high heat until the wine has reduced by about half. Lower the heat, puree the tomatoes through a food mill, or in a food processor, then add to the mushrooms and wine. Adjust the heat so the mixture barely simmers. Slice the chicken livers crosswise into half-inch rounds and add them, with any of their accumulated juices, to the tomato sauce. Taste for seasoning, add salt and pepper if necessary, then cook over low heat for about thirty minutes, or until the extraneous juices have evaporated. In the meantime, bring a large pot with about six quarts of water to a boil. Add the pasta and cook until al dente. Drain the pasta, divide into four plates, top with the sauce, garnish with the chopped parsley. "
Barbecued Chuck Roast,"4 pounds Round (7—bone chuck roast), Cut 2"" thick 2 teaspoons Meat tenderizer 3 each Green onions, chopped 1 each Garlic clove 1/4 each Green Pepper (diced) 2 each Stalks Celery, diced 1/2 teaspoon Oregano 1/2 teaspoon Rosemary 1 dash Cayenne 1 tablespoon Worcestershire sauce 3/4 cup Burgundy wine 3 tablespoons Peanut oil Barbecued Chuck Roast 24 ","Slash fat edges. Sprinkle both sides of roast evenly with meat tenderizer. Pierce meat deeply all over with fork. Place in shallow dish and top with green onions, garlic, green pepper, celery, oregano, rosemary and cayenne. Combine worcestershire, burgundy and oil and pour over meat. Refrigerate overnight, turning meat several times, each time spooning the chopped ingredients over top again. Sear both sides over glowing coals. Raise grill and continue cooking, having meat about six inches from heat, until done as desired. Allow from 50 to 60 minues for total cooking time. Brush frequently during cooking with any remaining marinade. "
Marinated Steak Kabobs,"1 cup Onion, chopped 1/2 cup Vegetable oil 1/2 cup Lemon juice 1/4 cup Soy sauce 1 tablespoon Worcesteshire sauce 1 teaspoon Mustard, prepared 1 pound Sirloin steak, cut in 2""cubes 1 large Green pepper, cut in 1""pieces 2 medium Onions, quartered 2 medium Tomatoes, quartered 1 cup Apple Wood Chips ","Saute onion in oil; remove from heat. Stir in lemon juice, soy sauce, Worcestershire sauce, and mustard; pour over meat and vegetables. Cover and marinate overnight in refrigerator. Remove meat and vegetables from marinade, reserving marinade. Alternate meat and vegetables on skewers. Soak Apple Wood Chips in water for 30 minutes. Prepare fire in grill. When the grill is up up temperature, add wood chips; let them start smoking. Grill kabobs 5 minutes on each side over coals or until desired degree of doneness, brushing frequently with marinade. "
